### Possibly profitable unbalances ###
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.0042321210817016, 'Volume': 1.36e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-00-23'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'PRL/USDT', 'PRL/ETH'], 'Unbalance factor': 1.004789564862937, 'Volume': 1.36e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-00-23'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SNOV/ETH', 'SNOV/BTC'], 'Unbalance factor': 1.0032533669748207, 'Volume': 0.001419450886, 'Sequence': 'straight', 'Time Stamp': '18-07-16-00-37'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'KICK/ETH', 'KICK/BTC'], 'Unbalance factor': 1.010591181768538, 'Volume': 0.00669605486, 'Sequence': 'straight', 'Time Stamp': '18-07-16-00-43'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SPHTX/ETH', 'SPHTX/BTC'], 'Unbalance factor': 1.0086658533429003, 'Volume': 2.768e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-16-00-44'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.0034273277680614, 'Volume': 0.43360233804674403, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-00-45'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.00345698401012, 'Volume': 0.08940933340674401, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-00-52'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'QLC/ETH', 'QLC/BTC'], 'Unbalance factor': 1.0057421146511627, 'Volume': 0.005656441880000001, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-00-58'}
{'profit_coin': 'BTC', 'trair': ['DEB/BTC', 'DEB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0037083333333336, 'Volume': 3.8399999999999997e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-16-01-10'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'HPB/ETH', 'HPB/BTC'], 'Unbalance factor': 1.004005605389687, 'Volume': 0.001403024964, 'Sequence': 'straight', 'Time Stamp': '18-07-16-01-11'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'KICK/ETH', 'KICK/BTC'], 'Unbalance factor': 1.003112087912088, 'Volume': 7.072000000000001e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-01-11'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SHL/ETH', 'SHL/BTC'], 'Unbalance factor': 1.0075952888888888, 'Volume': 1.235979e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-01-27'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'NEO/USDT', 'NEO/ETH'], 'Unbalance factor': 1.0033902815174216, 'Volume': 0.00023240546419999998, 'Sequence': 'straight', 'Time Stamp': '18-07-16-01-28'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'FOTA/ETH', 'FOTA/BTC'], 'Unbalance factor': 1.0041946219193736, 'Volume': 3.56e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-16-01-32'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SNM/ETH', 'SNM/BTC'], 'Unbalance factor': 1.0033069004357298, 'Volume': 0.001814006556, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-01-49'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.0032082626980572, 'Volume': 1.0505e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-16-02-18'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'STK/ETH', 'STK/BTC'], 'Unbalance factor': 1.012434381596643, 'Volume': 4.6500000000000005e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-16-02-40'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'KICK/ETH', 'KICK/BTC'], 'Unbalance factor': 1.0047067746493672, 'Volume': 0.07747274204454399, 'Sequence': 'straight', 'Time Stamp': '18-07-16-02-46'}
{'profit_coin': 'BTC', 'trair': ['AOA/BTC', 'AOA/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0045907594426533, 'Volume': 4.8639359999999994e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-03-12'}
{'profit_coin': 'BTC', 'trair': ['CAT/BTC', 'CAT/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0136440984848487, 'Volume': 1.24e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-16-03-13'}
{'profit_coin': 'BTC', 'trair': ['AIX/BTC', 'AIX/ETH', 'ETH/BTC'], 'Unbalance factor': 1.012970351112452, 'Volume': 2.2964315e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-03-34'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'QKC/ETH', 'QKC/BTC'], 'Unbalance factor': 1.0043212434029407, 'Volume': 0.009999998862, 'Sequence': 'straight', 'Time Stamp': '18-07-16-03-38'}
{'profit_coin': 'BTC', 'trair': ['DEB/BTC', 'DEB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.005599575596817, 'Volume': 3.76e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-16-03-43'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'KCS/USDT', 'KCS/ETH'], 'Unbalance factor': 1.0071800858236142, 'Volume': 1.64278091843, 'Sequence': 'straight', 'Time Stamp': '18-07-16-03-47'}
{'profit_coin': 'BTC', 'trair': ['DEB/BTC', 'DEB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0065108716180373, 'Volume': 3.76e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-16-03-50'}
{'profit_coin': 'BTC', 'trair': ['DEB/BTC', 'DEB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0063002755968171, 'Volume': 3.76e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-16-03-57'}
